,date,Country_Region,Confirmed,active_cases,active_rolling
1614,2021-01-07,India,10413417,18139.0,18101.14285714286
414,2021-01-08,India,10413417,0.0,15375.57142857143
411,2021-01-09,India,10450284,36867.0,18045.571428571428
1410,2021-01-10,India,10466595,16311.0,18018.0
1413,2021-01-11,India,10479179,12584.0,17476.428571428572
720,2021-01-12,India,10495147,15968.0,17173.571428571428
717,2021-01-13,India,10512093,16946.0,16687.85714285714
84,2021-01-14,India,10527683,15590.0,16323.714285714286
87,2021-01-15,India,10542841,15158.0,18489.14285714286
1236,2021-01-16,India,10557985,15144.0,15385.857142857143
1233,2021-01-17,India,10571773,13788.0,15025.42857142857
819,2021-01-18,India,10581823,10050.0,14663.42857142857
816,2021-01-19,India,10595639,13816.0,14356.0
102,2021-01-20,India,10610883,15244.0,14112.857142857143
105,2021-01-21,India,10625428,14545.0,13963.57142857143
1065,2021-01-22,India,10639684,14256.0,13834.714285714286
1062,2021-01-23,India,10654533,14849.0,13792.57142857143
1260,2021-01-24,India,10667736,13203.0,13709.0
1263,2021-01-25,India,10676838,9102.0,13573.57142857143
771,2021-01-26,India,10689527,12689.0,13412.57142857143
768,2021-01-27,India,10701193,11666.0,12901.42857142857
1173,2021-01-28,India,10720048,18855.0,13517.142857142857
1170,2021-01-29,India,10733130,13082.0,13349.42857142857
555,2021-01-30,India,10746174,13044.0,13091.57142857143
558,2021-01-31,India,10757610,11436.0,12839.142857142857
1464,2021-02-01,India,10766245,8635.0,12772.42857142857
570,2021-02-02,India,10777284,11039.0,12536.714285714286
567,2021-02-03,India,10790183,12899.0,12712.857142857143
348,2021-02-04,India,10802591,12408.0,11791.857142857143
351,2021-02-05,India,10814304,11713.0,11596.285714285714
897,2021-02-06,India,10826363,12059.0,11455.57142857143
894,2021-02-07,India,10838194,11831.0,11512.0
429,2021-02-08,India,10847304,9110.0,11579.857142857143
423,2021-02-09,India,10858371,11067.0,11583.857142857143
1053,2021-02-10,India,10871294,12923.0,11587.285714285714
1059,2021-02-11,India,10880603,9309.0,11144.57142857143
111,2021-02-12,India,10892746,12143.0,11206.0
108,2021-02-13,India,10904940,12194.0,11225.285714285714
774,2021-02-14,India,10916589,11649.0,11199.285714285714
777,2021-02-15,India,10925710,9121.0,11200.857142857143
1257,2021-02-16,India,10937320,11610.0,11278.42857142857
1254,2021-02-17,India,10950201,12881.0,11272.42857142857
36,2021-02-18,India,10963394,13193.0,11827.285714285714
30,2021-02-19,India,10977387,13993.0,12091.57142857143
729,2021-02-20,India,10991651,14264.0,12387.285714285714
732,2021-02-21,India,11005850,14199.0,12751.57142857143
1407,2021-02-22,India,11016434,10584.0,12960.57142857143
1404,2021-02-23,India,11030176,13742.0,13265.142857142857
1227,2021-02-24,India,11046914,16738.0,13816.142857142857
1230,2021-02-25,India,11063491,16577.0,14299.57142857143
99,2021-02-26,India,11079979,16488.0,14656.0
96,2021-02-27,India,11096731,16752.0,15011.42857142857
1302,2021-02-28,India,11112241,15510.0,15198.714285714286
630,2021-03-01,India,11124527,12286.0,15441.857142857143
1527,2021-03-02,India,11139516,14989.0,15620.0
1530,2021-03-03,India,11156923,17407.0,15715.57142857143
930,2021-03-04,India,11173761,16838.0,15752.857142857143
927,2021-03-05,India,11192045,18284.0,16009.42857142857
384,2021-03-06,India,11210799,18754.0,16295.42857142857
387,2021-03-07,India,11229398,18599.0,16736.714285714286
1596,2021-03-08,India,11244786,15388.0,17179.85714285714
1602,2021-03-09,India,11262707,17921.0,17598.714285714286
168,2021-03-10,India,11285561,22854.0,18376.85714285714
162,2021-03-11,India,11308846,23285.0,19297.85714285714
1116,2021-03-12,India,11333728,24882.0,20240.428571428572
1119,2021-03-13,India,11359048,25320.0,21178.428571428572
1287,2021-03-14,India,11385339,26291.0,22277.285714285714
1284,2021-03-15,India,11409831,24492.0,23577.85714285714
798,2021-03-16,India,11438734,28903.0,25146.714285714286
801,2021-03-17,India,11474605,35871.0,27006.285714285714
1212,2021-03-18,India,11514331,39726.0,29355.0
1215,2021-03-19,India,11555284,40953.0,31650.85714285714
1362,2021-03-20,India,11599130,43846.0,34297.42857142857
1359,2021-03-21,India,11646081,46951.0,37248.857142857145
681,2021-03-22,India,11686796,40715.0,39566.42857142857
684,2021-03-23,India,11734058,47262.0,42189.142857142855
21,2021-03-24,India,11787534,53476.0,44704.142857142855
18,2021-03-25,India,11846652,59118.0,47474.42857142857
1158,2021-03-26,India,11908910,62258.0,50518.0
1161,2021-03-27,India,11971624,62714.0,53213.42857142857
750,2021-03-28,India,12039644,68020.0,56223.28571428572
753,2021-03-29,India,12095855,56211.0,58437.0
969,2021-03-30,India,12149335,53480.0,59325.28571428572
963,2021-03-31,India,12221665,72330.0,62018.71428571428
1128,2021-04-01,India,12303131,81466.0,65211.28571428572
192,2021-04-02,India,12392260,89129.0,69050.0
189,2021-04-03,India,12485509,93249.0,73412.14285714286
822,2021-04-04,India,12589067,103558.0,78489.0
825,2021-04-05,India,12686049,96982.0,84313.42857142857
1308,2021-04-06,India,12801785,115736.0,93207.14285714286
1305,2021-04-07,India,12928574,126789.0,100987.0
48,2021-04-08,India,13060542,131968.0,108201.57142857143
45,2021-04-09,India,13205926,145384.0,116238.0
